   0.0000000e+00   2.4054296e-01   2.4054296e-01
   2.0040080e-02   6.3086620e-02   4.3313013e-02
   4.0080160e-02   2.8274819e-01   2.4372890e-01
   6.0120240e-02   2.1771218e-01   1.5996767e-01
   8.0160321e-02   2.8539598e-01   2.0943933e-01
   1.0020040e-01   2.2252727e-01   1.2886427e-01
   1.2024048e-01   2.4386618e-01   1.3299543e-01
   1.4028056e-01   1.7083096e-01   4.3243933e-02
   1.6032064e-01   2.6332726e-01   1.1950841e-01
   1.8036072e-01   3.8229220e-01   2.2271902e-01
   2.0040080e-01   2.1676572e-01   4.1908857e-02
   2.2044088e-01   2.9662720e-01   1.0695051e-01
   2.4048096e-01   3.5542266e-01   1.5138330e-01
   2.6052104e-01   2.9400839e-01   7.6056906e-02
   2.8056112e-01   4.4591740e-01   2.1449781e-01
   3.0060120e-01   3.1579041e-01   7.1340241e-02
   3.2064128e-01   4.2124111e-01   1.6419154e-01
   3.4068136e-01   5.4890090e-01   2.7967678e-01
   3.6072144e-01   4.6899241e-01   1.8801237e-01
   3.8076152e-01   5.2713965e-01   2.3481618e-01
   4.0080160e-01   4.8941133e-01   1.8615083e-01
   4.2084168e-01   4.0348095e-01   8.9683805e-02
   4.4088176e-01   5.6813495e-01   2.4419563e-01
   4.6092184e-01   6.7064433e-01   3.3695144e-01
   4.8096192e-01   5.0951056e-01   1.6644693e-01
   5.0100200e-01   6.3018162e-01   2.7812433e-01
   5.2104208e-01   5.6198261e-01   2.0130312e-01
   5.4108216e-01   6.2063153e-01   2.5169570e-01
   5.6112224e-01   5.4734889e-01   1.7051709e-01
   5.8116232e-01   5.9117824e-01   2.0680538e-01
   6.0120240e-01   6.9531303e-01   3.0374865e-01
   6.2124248e-01   6.8260960e-01   2.8419792e-01
   6.4128257e-01   6.8143647e-01   2.7651649e-01
   6.6132265e-01   7.1644387e-01   3.0534937e-01
   6.8136273e-01   6.7605900e-01   2.5911866e-01
   7.0140281e-01   6.9329439e-01   2.7083185e-01
   7.2144289e-01   8.4271872e-01   4.1505260e-01
   7.4148297e-01   7.9323198e-01   3.6067598e-01
   7.6152305e-01   7.9290052e-01   3.5576347e-01
