0	0	1	1	0.1	8 
0.08	0.224348234075691	0.974509040423494	1	0.1	8 
0.16	0.437258764619615	0.899335739734238	1	0.1	8 
0.24	0.627877004176755	0.778312577070436	1	0.1	8 
0.32	0.786484869068921	0.617609545526656	1	0.1	8 
0.4	0.904996225951147	0.425419594064708	1	0.1	8 
0.48	0.97736913840815	0.211540935252046	1	0.1	8 
0.56	0.99991389646818	-0.0131224864191888	1	0.1	8 
0.64	0.971481125098496	-0.237116898548714	1	0.1	8 
0.72	0.893520381550362	-0.449022636126615	1	0.1	8 
0.8	0.77000625414846	-0.638036337971638	1	0.1	8 
0.88	0.607235730150247	-0.794521722817506	1	0.1	8 
0.96	0.413507163250693	-0.910500865425379	1	0.1	8 
1.04	0.198697207585101	-0.980060926523389	1	0.1	8 
1.12	-0.0262427130535238	-0.999655600700356	1	0.1	8 
1.2	-0.249844729816898	-0.968285913861563	1	0.1	8 
1.28	-0.460709182763941	-0.887551152845278	1	0.1	8 
1.36	-0.648085797402263	-0.761567330710472	1	0.1	8 
1.44	-0.802421754313206	-0.59675734449181	1	0.1	8 
1.52	-0.915848710219135	-0.4015235235823	1	0.1	8 
1.6	-0.982583941224283	-0.185819262855485	1	0.1	8 
1.68	-0.999225157176885	0.0393584205073005	1	0.1	8 
1.76	-0.964923956950639	0.262529536057794	1	0.1	8 
1.84	-0.881429081562332	0.47231639202571	1	0.1	8 
1.92	-0.7529972599987	0.658023651880729	1	0.1	8 
2	-0.586176193003373	0.810183603114795	1	0.1	8 
2.08	-0.389470738726929	0.921038839395767	1	0.1	8 
2.16	-0.172909318736244	0.984937748029878	1	0.1	8 
2.24	0.0524673501630548	0.998622640023181	1	0.1	8 
2.32	0.275169132858167	0.961395833318454	1	0.1	8 
