0	0	0	1	1	16
0,06	-0,001720186	0,0017543785	1	1	16
0,12	-0,0061067173	0,0067622901	1	1	16
0,18	-0,0111982397	0,0144937978	1	1	16
0,24	-0,0145158734	0,0242568345	1	1	16
0,3	-0,0138504469	0,0352451272	1	1	16
0,36	-0,0079566847	0,0465900614	1	1	16
0,42	0,0030574276	0,0574134683	1	1	16
0,48	0,0177570743	0,0668784381	1	1	16
0,54	0,033799262	0,0742355258	1	1	16
0,6	0,048596061	0,0788621053	1	1	16
0,66	0,0600016617	0,0802931181	1	1	16
0,72	0,0668034772	0,0782420108	1	1	16
0,78	0,0688711329	0,0726112456	1	1	16
0,84	0,0669377795	0,0634923506	1	1	16
0,9	0,0621146533	0,0511560323	1	1	16
0,96	0,0553294822	0,0360333668	1	1	16
1,02	0,0469020732	0,0186895018	1	1	16
1,08	0,0364188136	-0,0002083857	1	1	16
1,14	0,0229595882	-0,0199269235	1	1	16
1,2	0,0056026548	-0,0397041276	1	1	16
1,26	-0,0159709352	-0,0587867152	1	1	16
1,32	-0,0409958744	-0,0764652506	1	1	16
1,38	-0,0674548678	-0,0921054493	1	1	16
1,44	-0,0923172996	-0,1051742572	1	1	16
1,5	-0,1121442937	-0,1152596725	1	1	16
1,56	-0,1238966451	-0,1220836583	1	1	16
1,62	-0,1257088754	-0,125507893	1	1	16
1,68	-0,11739464	-0,1255324858	1	1	16
1,74	-0,1005261795	-0,122288143	1	1	16
1,8	-0,0780590004	-0,1160225786	1	1	16
1,86	-0,0536111939	-0,1070822113	1	1	16
1,92	-0,0306102472	-0,0958903694	1	1	16
1,98	-0,0115557278	-0,0829233302	1	1	16
